Dispositivo;Identificador;Direccion IP:puerto;Esclavo
Medidor CC Schneider totalizador de iluminacion;00000001-0001-0020-0000-000000000001;192.168.0.8:26;11
Medidor Terraza Schneider Microinversores;00000001-0003-0020-0000-000000000001;192.168.0.10:26;22
Medidor CC Siemens Operador de red;00000001-0002-0020-0000-000000000001;192.168.0.8:26;14
Medidor CC Siemens Inversor Quattro;00000001-0004-0020-0000-000000000001;192.168.0.8:26;13
Medidor Terraza Schneider Fronius;00000001-0005-0020-0000-000000000001;192.168.0.10:26;24
Medidor Terraza Schneider PEL;00000001-0006-0020-0000-000000000001;192.168.0.10:26;23
Piranometro;00000003-0001-0005-0000-000000000001;192.168.0.10:26;12
Color Control (Inv. Quattro - Baterías);00000006-0100-0015-0000-000000000002;192.168.0.105:502;100
Color Control (Inv. Quattro - Lim. Pot. Activa);00000006-0100-0001-0000-000000002700;192.168.0.105:502;100
Inv. Fronius (Lim. Pot. Activa);00000004-0001-0001-0000-000000040243;192.168.0.9:26;21
Color Control (Inv. Quattro - Habilitador);00000006-0100-0015-0000-000000000246;192.168.0.105:502;246
