Variable;Registro;item
Voltaje L1-N;R1-R2;A_net_mag
Voltaje L2-N;R3-R4;A_neut_mag
Voltaje L3-N;R5-R6;A_phsA_mag
Corriente L1;R13-R14;A_phsB_mag
Corriente L2;R15-R16;A_phsC_mag
Corriente L3;R17-R18;Hz_mag
Pot Aparente L1 ;R19-R20;PF_net_mag
Pot Aparente L12;R21-R22;PF_neut_mag
Pot Aparente L13;R23-R24;PF_phsA_mag
Pot Activa L1;R25-R26;PF_phsB_mag
Pot Activa L2;R27-R28;PF_phsC_mag
Pot Activa L3;R29-R30;PhV_net_mag
Pot Reactiva L1;R31-R32;PhV_neut_mag
Pot Reactiva L2;R33-R34;PhV_phsA_mag
Pot Reactiva L3;R35-R36;PhV_phsB_mag
frecuencia;R55-R56;VA_net_mag
voltaje medio l-n;R57-R58;PhV_phsC_mag
corriente media;R61-R62;PPV_phsAB_mag
pot aparente total;R63-R64;PPV_phsBC_mag
pot activa total;R65-R66;VA_phsA_mag
pot reactiva total;R67-R68;VA_phsB_mag
factor de potencia total;R69-R70;PPV_phsCA_mag
